respondent_id,persona,mojo_driver,sdt_stage,A1_role,A2_department,A3_tenure,A4_ai_experience,B1_ai_improves_quality,B2_interested_in_learning,B3_motivated_to_experiment,B4_aligns_with_values,B5_use_because_expected_REVERSE,B5_scored,C1_sufficient_time,C2_manager_support,C3_tool_access,C4_clear_guidelines,C5_peer_learning,D1_confident_using_ai,D2_prompt_writing,D3_evaluate_output,D4_understand_limits,D5_know_when_to_use,E1_improved_productivity,E2_improved_quality,E3_concrete_examples,E4_team_benefit,E5_positive_impact,MOJO_M_score,MOJO_O_score,MOJO_J_score,MOJO_Outcome_score,F1_biggest_challenge,F2_helpful_situation,F3_what_would_help,G1_adoption_stage
R003,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Product,3–5 years,More than 2 years,5,4,4,4,3,3,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4.0,3.6,3.8,3.8,"Sometimes the company's data governance policies slow us down. I understand the need, but it can be frustrating when I know AI could help immediately.","I now use AI for every first draft: emails, proposals, code reviews. It's multiplied my output by at least 40%.",Executive-level commitment that signals this is a strategic priority — not just a productivity experiment.,Regular part of daily workflow
R177,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Director+,Operations,3–5 years,3–12 months,3,2,1,2,5,1,3,3,3,3,4,2,3,3,3,1,1,3,2,2,2,1.8,3.2,2.4,2.0,There's a lot of pressure to adopt AI quickly without any support for actually doing it well. It feels rushed.,"I can see AI being helpful for my work in theory, but the mandated rollout hasn't demonstrated the value proposition to me personally.",Give me autonomy. Let me decide when AI is appropriate for my work rather than telling me I have to use it everywhere.,"Tried a few, don't use regularly"
R047,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,HR,More than 5 years,3–12 months,4,3,4,4,2,4,1,2,2,2,2,4,2,3,4,4,2,2,3,3,4,3.8,1.8,3.4,2.8,"There's no official training available, and when I try to learn on my own, I don't have the time to apply it before I forget.",I used AI to draft a project proposal last month and it saved me at least 3 hours — but then I couldn't replicate it easily because I didn't have consistent access.,A formal learning program with structure would help enormously. Right now self-directed learning isn't happening because there's no space for it.,Use occasionally
R086,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,HR,3–5 years,3–12 months,2,2,3,2,4,2,4,3,5,4,2,2,2,4,3,3,2,3,2,1,3,2.2,3.6,2.8,2.2,"AI seems better suited to volume-oriented work. My work is about quality and judgment, not generating large amounts of content quickly.",I used it once to generate a first draft of a policy document. It was a decent starting point but needed significant revision.,Clear data privacy guarantees with documentation I can share with our legal team. Right now it's too ambiguous.,Don't use AI tools
R153,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Executive,Design,3–5 years,3–12 months,2,1,2,2,5,1,4,4,4,2,3,2,3,3,1,3,2,3,2,1,2,1.6,3.4,2.4,2.0,"I was told to use AI tools, not asked. I'm complying, but I don't see how it's making my work better.",My team was required to use AI for a process improvement project and the initial output was actually good. But we were given no context for how it worked.,"I need to see someone I respect using AI effectively and authentically — not a polished demo, but real messy work where it actually helped.",Use occasionally
R083,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,HR,3–5 years,1–2 years,2,2,2,2,3,3,3,3,3,3,3,3,4,2,3,2,3,2,2,3,3,2.2,3.0,2.8,2.6,My work requires precision and judgment that AI consistently gets wrong. I spend more time correcting its output than I save.,I occasionally use AI for brainstorming when I'm stuck on a framing problem. But I always heavily rewrite the output.,Better integration with our existing systems so I don't have to interrupt my workflow to use AI tools.,"Tried a few, don't use regularly"
R148,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Operations,More than 5 years,3–12 months,2,2,2,3,4,2,4,4,3,3,3,2,2,3,4,1,1,2,2,2,2,2.2,3.4,2.4,1.8,Using AI on my work makes me feel like my expertise and judgment are being replaced by a shortcut. That's demoralizing.,"I can see AI being helpful for my work in theory, but the mandated rollout hasn't demonstrated the value proposition to me personally.",Involve employees in the rollout decisions. We were not consulted about which tools to adopt or how to integrate them.,"Tried a few, don't use regularly"
R027,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Director+,Product,1–3 years,1–2 years,4,4,5,4,1,5,4,4,3,4,4,4,4,4,5,4,4,4,4,3,4,4.4,3.8,4.2,3.8,Getting approval to use AI-generated outputs in client-facing work is still a slow process — we need clearer policy guardrails.,AI drafts my performance review templates and development plans based on my notes. Frees up 4–6 hours every cycle.,Compute resources and API access beyond the free tiers we're currently limited to.,Active advocate / AI champion
R156,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Engineering,3–5 years,Less than 3 months,1,2,2,3,4,2,4,3,2,2,2,3,4,2,3,4,3,1,1,2,2,2.0,2.6,3.2,1.8,I haven't seen any evidence that using AI has improved outcomes for my team. The case for it hasn't been made to me convincingly.,The one time AI felt genuinely useful was when I asked it to identify gaps in a policy document. That felt like an appropriate use.,"Connect AI use to outcomes I actually care about — team morale, quality of work, client satisfaction — not just efficiency metrics.",Use occasionally
R099,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Director+,Operations,More than 5 years,Less than 3 months,3,1,2,3,4,2,3,4,3,3,2,2,3,3,3,4,2,3,3,1,1,2.2,3.0,3.0,2.0,"I've heard too many stories of AI errors causing problems. Until reliability improves, I'm cautious about depending on it.","I use it sometimes for initial research on unfamiliar topics, like a smarter search engine. That part is genuinely useful.","Show me domain-specific evidence. I need to see that AI works reliably for my type of work, not just general productivity claims.","Tried a few, don't use regularly"
R112,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Sales,More than 5 years,Not at all,3,3,3,3,4,2,3,3,2,3,4,1,1,1,2,3,2,2,3,3,3,2.8,3.0,1.6,2.6,I'd like to use AI for my work but I genuinely don't know how to write a prompt that gets good results.,A colleague showed me how to use AI for creating presentation outlines. I've done it twice now and it has helped me get started faster.,"Clear written guidance on what's allowed — what data can I use, what tools are approved, and what does 'responsible use' look like for my role.","Tried a few, don't use regularly"
R077,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Design,1–3 years,Not at all,3,2,1,1,4,2,3,3,3,3,4,3,2,3,3,4,2,2,2,2,3,1.8,3.2,3.0,2.2,"I've heard too many stories of AI errors causing problems. Until reliability improves, I'm cautious about depending on it.","In theory, AI could help us process our quarterly reporting data faster. But our data is too proprietary to put into an external tool.",Peer testimonials from people in similar roles with similar work types. Generic success stories from other industries don't persuade me.,Use occasionally
R037,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Manager,Marketing,More than 5 years,Less than 3 months,4,4,4,4,3,3,2,2,3,2,3,3,4,3,3,2,2,3,2,2,2,3.8,2.4,3.0,2.2,My team culture doesn't encourage experimentation. Making a mistake with AI would feel risky in our environment.,"If I had access, I'd use AI to handle the repetitive parts of my reporting so I could focus on insights and recommendations.",Having a peer resource — someone in my department who uses AI well and can mentor others — would be much more effective than online courses.,Use occasionally
R165,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,Manager,Product,3–5 years,1–2 years,3,2,1,2,4,2,4,3,4,2,4,4,3,3,3,4,3,2,2,3,2,2.0,3.4,3.4,2.4,I haven't seen any evidence that using AI has improved outcomes for my team. The case for it hasn't been made to me convincingly.,I used AI to help onboard a new team member faster — the training materials it generated were decent and saved some time.,"Connect AI use to outcomes I actually care about — team morale, quality of work, client satisfaction — not just efficiency metrics.",Use occasionally
R023,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Engineering,Less than 1 year,3–12 months,4,4,5,4,1,5,4,4,4,2,3,3,4,3,3,3,3,3,4,4,4,4.4,3.4,3.2,3.6,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,I generate meeting summaries with action items automatically now. My team doesn't have to take notes anymore.,More advanced training on prompt engineering and tool-specific capabilities. Basic onboarding is not enough for experienced users.,Active advocate / AI champion
R105,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Operations,3–5 years,Less than 3 months,2,3,2,3,4,2,3,3,3,3,2,3,2,4,4,3,3,2,3,2,3,2.4,2.8,3.2,2.6,There's a lot of hype but I haven't seen compelling evidence that AI delivers real performance improvement for my specific role.,I occasionally use AI for brainstorming when I'm stuck on a framing problem. But I always heavily rewrite the output.,Address the accuracy problem first. Hallucinations and confident errors are a dealbreaker in my field — no amount of training will help if the outputs can't be trusted.,"Tried a few, don't use regularly"
R076,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Engineering,More than 5 years,3–12 months,2,2,3,2,3,3,4,3,4,3,3,3,3,4,3,3,2,3,2,3,1,2.4,3.4,3.2,2.2,I've tried several tools and haven't seen results that justify the time investment to learn them properly.,"Honestly, most of my use cases are situations where AI is marginally faster but the quality isn't noticeably better.","Help me understand what AI is and isn't appropriate for in my specific role — a practical framework, not a sales pitch.",Don't use AI tools
R147,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Sales,3–5 years,3–12 months,2,2,3,1,5,1,3,4,4,3,3,1,2,3,3,3,2,2,2,1,2,1.8,3.4,2.4,1.8,I haven't seen any evidence that using AI has improved outcomes for my team. The case for it hasn't been made to me convincingly.,"I can see AI being helpful for my work in theory, but the mandated rollout hasn't demonstrated the value proposition to me personally.","Connect AI use to outcomes I actually care about — team morale, quality of work, client satisfaction — not just efficiency metrics.",Active advocate / AI champion
R012,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Manager,Engineering,1–3 years,1–2 years,4,4,5,4,2,4,4,4,3,4,4,4,4,4,4,3,4,5,4,4,4,4.2,3.8,3.8,4.2,"The main friction is organizational, not technical — getting buy-in for new workflows takes longer than building them.",Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,More advanced training on prompt engineering and tool-specific capabilities. Basic onboarding is not enough for experienced users.,Regular part of daily workflow
R007,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Executive,HR,3–5 years,3–12 months,5,4,4,4,1,5,5,4,3,3,4,5,3,4,3,4,4,4,4,4,4,4.4,3.8,3.8,4.0,Getting approval to use AI-generated outputs in client-facing work is still a slow process — we need clearer policy guardrails.,Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,More advanced training on prompt engineering and tool-specific capabilities. Basic onboarding is not enough for experienced users.,Active advocate / AI champion
R028,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Data/Analytics,3–5 years,1–2 years,4,4,4,4,1,5,4,4,4,3,4,4,4,5,4,4,4,4,4,3,4,4.2,3.8,4.2,3.8,"Keeping up with how fast these tools are evolving is genuinely challenging. By the time I master one capability, three more emerge.",Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,"Official recognition for AI innovation — teams who use it well should be showcased, not just tolerated.",Regular part of daily workflow
R113,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Engineering,3–5 years,Less than 3 months,4,3,3,4,2,4,2,3,3,2,3,3,1,3,2,2,2,2,3,4,2,3.6,2.6,2.2,2.6,I tried a few tools based on recommendations from colleagues but couldn't get results that felt useful or reliable.,I used AI to clean up an email I'd written and the rewrite was better than mine — I sent the AI version and got great feedback.,A safe environment to practice without fear of doing it wrong or using company data inappropriately.,Use occasionally
R005,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Executive,Data/Analytics,3–5 years,More than 2 years,4,5,5,4,2,4,4,4,4,3,3,4,4,4,5,4,4,4,4,3,5,4.4,3.6,4.2,4.0,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,I built an AI-assisted dashboard that auto-summarizes weekly metrics. It replaced a 3-hour manual process our team ran every Monday.,More advanced training on prompt engineering and tool-specific capabilities. Basic onboarding is not enough for experienced users.,Active advocate / AI champion
R033,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Operations,Less than 1 year,1–2 years,3,5,4,3,2,4,2,2,2,3,2,3,2,3,3,3,2,3,3,3,4,3.8,2.2,2.8,3.0,"I need manager approval to use AI on anything client-related, and the process takes weeks. By then the deadline has passed.",I think AI could transform how we handle onboarding documentation — right now it takes weeks to update it manually.,A small internal grant or stipend for individuals or teams to experiment with approved AI tools in their workflow.,"Tried a few, don't use regularly"
R102,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Operations,3–5 years,Less than 3 months,2,2,1,2,3,3,4,3,2,3,3,2,3,3,2,3,2,3,3,2,2,2.0,3.0,2.6,2.4,I'm not convinced the accuracy is good enough for our compliance environment. One hallucinated fact in a legal document is a serious problem.,"Honestly, most of my use cases are situations where AI is marginally faster but the quality isn't noticeably better.",A structured pilot program where I can evaluate AI tools against my real work tasks — with clear criteria for success or failure.,"Tried a few, don't use regularly"
R129,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Manager,Marketing,1–3 years,3–12 months,3,3,4,4,3,3,3,4,2,2,2,2,2,1,2,2,2,3,2,3,3,3.4,2.6,1.8,2.6,I feel like everyone else is further along than me. I'm embarrassed to admit I don't fully understand how to use these tools.,A colleague showed me how to use AI for creating presentation outlines. I've done it twice now and it has helped me get started faster.,Someone I can ask dumb questions to without feeling judged. Right now there's no one to go to when I'm stuck.,Use occasionally
R096,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,Operations,More than 5 years,1–2 years,2,3,3,1,4,2,4,3,4,3,3,3,2,3,2,3,2,2,2,3,2,2.2,3.4,2.6,2.2,"AI seems better suited to volume-oriented work. My work is about quality and judgment, not generating large amounts of content quickly.","I use it sometimes for initial research on unfamiliar topics, like a smarter search engine. That part is genuinely useful.",Clear data privacy guarantees with documentation I can share with our legal team. Right now it's too ambiguous.,Don't use AI tools
R011,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Product,More than 5 years,1–2 years,4,5,4,4,1,5,3,3,5,3,4,4,3,4,3,3,5,4,3,4,4,4.4,3.6,3.4,4.0,I want to do more with AI than our current infrastructure allows. We're behind on compute and API access.,"I now use AI for every first draft: emails, proposals, code reviews. It's multiplied my output by at least 40%.","A cross-functional AI community where practitioners can share prompts, workflows, and lessons learned.",Regular part of daily workflow
R115,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Marketing,3–5 years,1–2 years,4,4,3,3,3,3,4,3,1,3,2,2,3,3,3,2,2,2,2,2,2,3.4,2.6,2.6,2.0,The learning curve feels steep. I'm not a technical person and a lot of the training content assumes you already have some background.,It helped me write a difficult performance review message — I gave it my notes and it produced a draft that felt professional.,A starter kit: here are the 3–5 things someone in your role should know how to do with AI. Give me a starting point.,Use occasionally
R134,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Engineering,More than 5 years,3–12 months,2,3,4,4,2,4,2,4,3,4,4,3,2,2,2,2,3,3,3,3,4,3.4,3.4,2.2,3.2,I'd like to use AI for my work but I genuinely don't know how to write a prompt that gets good results.,It helped me write a difficult performance review message — I gave it my notes and it produced a draft that felt professional.,A safe environment to practice without fear of doing it wrong or using company data inappropriately.,"Tried a few, don't use regularly"
R001,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Data/Analytics,More than 5 years,1–2 years,5,4,4,4,2,4,4,4,4,3,4,3,4,4,4,5,4,4,4,4,4,4.2,3.8,4.0,4.0,"Sometimes the company's data governance policies slow us down. I understand the need, but it can be frustrating when I know AI could help immediately.",Last quarter I used AI to synthesize 300 pages of user research into a structured brief — it saved me two full days of work.,Clearer policies so I can confidently use AI on client deliverables without a 3-step approval process.,Active advocate / AI champion
R137,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Operations,3–5 years,Less than 3 months,2,3,4,4,3,3,3,3,3,2,3,2,2,3,2,3,2,2,1,2,3,3.2,2.8,2.4,2.0,"The tools change so fast that by the time I learn something, it feels outdated. It's hard to feel like I'm making progress.",I tried using it to summarize a long competitor report and it worked well enough that I've done it a few more times since.,"Regular drop-in sessions where I can ask questions and get help in real time, not just asynchronous courses.","Tried a few, don't use regularly"
R071,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Director+,Engineering,1–3 years,Less than 3 months,3,2,2,2,4,2,3,3,3,3,3,1,3,4,4,4,2,2,2,3,2,2.2,3.0,3.2,2.2,I've tried several tools and haven't seen results that justify the time investment to learn them properly.,"In theory, AI could help us process our quarterly reporting data faster. But our data is too proprietary to put into an external tool.",Clear data privacy guarantees with documentation I can share with our legal team. Right now it's too ambiguous.,Use occasionally
R065,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,Director+,Finance,1–3 years,Not at all,3,3,4,4,2,4,2,2,2,2,2,4,2,2,4,3,2,2,3,2,3,3.6,2.0,3.0,2.4,There's no internal resource or person I can ask when I get stuck. I'm trying to figure it out alone and it's slow going.,I think AI could transform how we handle onboarding documentation — right now it takes weeks to update it manually.,A formal learning program with structure would help enormously. Right now self-directed learning isn't happening because there's no space for it.,Use occasionally
R045,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Sales,1–3 years,3–12 months,4,4,4,5,3,3,2,2,3,2,2,3,2,3,4,3,3,3,2,3,4,4.0,2.2,3.0,3.0,"The biggest blocker is clarity: no one has told us which tools are approved, which data we can feed into them, or what counts as acceptable use.",I tried using AI to summarize lengthy compliance documents and it was genuinely faster and more accurate than my usual process.,Just give us the time. Even one hour per week of protected learning time would make a massive difference.,Use occasionally
R124,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Operations,More than 5 years,Less than 3 months,4,4,4,3,4,2,4,2,2,3,4,2,2,2,3,3,2,2,2,3,2,3.4,3.0,2.4,2.2,The learning curve feels steep. I'm not a technical person and a lot of the training content assumes you already have some background.,It helped me write a difficult performance review message — I gave it my notes and it produced a draft that felt professional.,"Structured, role-specific training — not general overviews but actual use cases relevant to my job. Show me exactly how to do the things I need.","Tried a few, don't use regularly"
R029,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Operations,More than 5 years,3–12 months,4,4,4,5,2,4,3,4,3,3,4,4,4,5,5,4,5,4,5,3,4,4.2,3.4,4.4,4.2,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,Used AI to generate test cases I hadn't thought of — caught edge cases that would have gone to production.,Executive-level commitment that signals this is a strategic priority — not just a productivity experiment.,Active advocate / AI champion
R041,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Finance,Less than 1 year,Less than 3 months,4,4,4,4,3,3,2,2,3,2,2,3,3,2,3,3,3,2,3,3,2,3.8,2.2,2.8,2.6,"Our IT department hasn't approved most AI tools yet, so I'm limited to a very narrow set that doesn't cover my needs.","If I had access, I'd use AI to handle the repetitive parts of my reporting so I could focus on insights and recommendations.",Remove the friction in the approval process. I don't need to submit a ticket to try a writing assistant.,Regular part of daily workflow
R139,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,HR,Less than 1 year,Less than 3 months,4,4,4,4,3,3,4,3,2,3,2,2,1,2,3,2,2,3,3,3,3,3.8,2.8,2.0,2.8,I feel like everyone else is further along than me. I'm embarrassed to admit I don't fully understand how to use these tools.,I used AI to answer a customer's complex question and the response was accurate and faster than looking it up myself.,"Clear written guidance on what's allowed — what data can I use, what tools are approved, and what does 'responsible use' look like for my role.","Tried a few, don't use regularly"
R140,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Marketing,1–3 years,3–12 months,4,4,4,3,2,4,2,2,3,3,3,2,2,2,3,3,2,3,2,2,3,3.8,2.6,2.4,2.4,I started a course on AI prompting but never finished it — I got lost and didn't have anyone to ask for help.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,A safe environment to practice without fear of doing it wrong or using company data inappropriately.,Use occasionally
R026,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,IC,Engineering,3–5 years,1–2 years,4,5,4,5,2,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4.4,3.4,3.6,4.0,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,I generate meeting summaries with action items automatically now. My team doesn't have to take notes anymore.,Better integration between our existing tools and AI APIs. Right now I have to do a lot of copy-paste that should be automated.,Active advocate / AI champion
R024,Eager Adopter,High Motivation + Moderate Opportunity + High Capability,Integrated / Intrinsic,Director+,Design,1–3 years,1–2 years,4,5,4,5,2,4,4,4,3,3,4,5,4,4,5,4,5,4,4,4,4,4.4,3.6,4.4,4.2,Team alignment is harder than individual adoption. I use AI constantly but getting colleagues to see its value takes ongoing effort.,Last quarter I used AI to synthesize 300 pages of user research into a structured brief — it saved me two full days of work.,"A cross-functional AI community where practitioners can share prompts, workflows, and lessons learned.",Regular part of daily workflow
R145,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,Marketing,Less than 1 year,Less than 3 months,5,3,4,4,4,2,3,2,4,3,3,1,2,2,2,2,1,4,2,3,3,3.6,3.0,1.8,2.6,I feel like everyone else is further along than me. I'm embarrassed to admit I don't fully understand how to use these tools.,It helped me write a difficult performance review message — I gave it my notes and it produced a draft that felt professional.,"Clear written guidance on what's allowed — what data can I use, what tools are approved, and what does 'responsible use' look like for my role.","Tried a few, don't use regularly"
R082,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,Marketing,More than 5 years,Less than 3 months,3,3,3,1,4,2,3,3,2,3,3,5,3,4,3,4,1,2,1,2,3,2.4,2.8,3.8,1.8,I've tried several tools and haven't seen results that justify the time investment to learn them properly.,"I use it sometimes for initial research on unfamiliar topics, like a smarter search engine. That part is genuinely useful.",Peer testimonials from people in similar roles with similar work types. Generic success stories from other industries don't persuade me.,Don't use AI tools
R080,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Engineering,More than 5 years,1–2 years,3,3,1,3,4,2,3,3,4,3,3,3,4,4,2,3,2,1,3,2,3,2.4,3.2,3.2,2.2,There's a lot of hype but I haven't seen compelling evidence that AI delivers real performance improvement for my specific role.,"In theory, AI could help us process our quarterly reporting data faster. But our data is too proprietary to put into an external tool.",A structured pilot program where I can evaluate AI tools against my real work tasks — with clear criteria for success or failure.,"Tried a few, don't use regularly"
R085,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,IC,Operations,1–3 years,3–12 months,2,3,3,3,4,2,2,3,3,3,3,3,3,3,3,4,2,2,2,2,1,2.6,2.8,3.2,1.8,"AI seems better suited to volume-oriented work. My work is about quality and judgment, not generating large amounts of content quickly.","Honestly, most of my use cases are situations where AI is marginally faster but the quality isn't noticeably better.","Show me domain-specific evidence. I need to see that AI works reliably for my type of work, not just general productivity claims.",Regular part of daily workflow
R040,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,HR,More than 5 years,3–12 months,4,5,3,4,3,3,2,1,2,3,2,3,3,4,2,1,3,2,2,2,3,3.8,2.0,2.6,2.4,"Access is inconsistent — some teammates have paid tools through a team license, others are using free versions. It's not equitable.",I can imagine AI making our RFP response process so much faster — we do it manually every time and it's exhausting.,Remove the friction in the approval process. I don't need to submit a ticket to try a writing assistant.,Regular part of daily workflow
R109,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,IC,HR,3–5 years,Less than 3 months,4,3,3,3,3,3,4,3,4,3,2,2,2,2,2,3,2,3,3,2,2,3.2,3.2,2.2,2.4,I don't understand the difference between different AI tools and when to use which. It all blurs together for me.,I tried using AI for brainstorming campaign names and it gave me several options I wouldn't have thought of. That was actually fun.,"A simple decision tree: if you want to do X task, use this tool and this prompt. Remove the paralysis of too many options.","Tried a few, don't use regularly"
R087,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Manager,Engineering,More than 5 years,Less than 3 months,3,3,3,2,4,2,2,4,2,3,3,2,3,3,4,3,2,2,3,2,2,2.6,2.8,3.0,2.2,I'm not convinced the accuracy is good enough for our compliance environment. One hallucinated fact in a legal document is a serious problem.,I used it once to generate a first draft of a policy document. It was a decent starting point but needed significant revision.,Peer testimonials from people in similar roles with similar work types. Generic success stories from other industries don't persuade me.,Use occasionally
R128,Overwhelmed Learner,Moderate Motivation + Moderate Opportunity + Low Capability,Introjected / Identified Regulation,Executive,Marketing,More than 5 years,More than 2 years,3,2,4,3,3,3,3,3,1,2,3,1,3,2,2,2,2,3,3,3,3,3.0,2.4,2.0,2.8,I started a course on AI prompting but never finished it — I got lost and didn't have anyone to ask for help.,I used AI to clean up an email I'd written and the rewrite was better than mine — I sent the AI version and got great feedback.,A starter kit: here are the 3–5 things someone in your role should know how to do with AI. Give me a starting point.,"Tried a few, don't use regularly"
R176,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Product,More than 5 years,3–12 months,2,2,1,1,4,2,4,4,3,3,3,2,1,2,1,3,3,2,2,3,2,1.6,3.4,1.8,2.4,I think AI has potential but the way it's being rolled out here feels top-down and disconnected from actual work realities.,"I used AI for a mandatory deliverable and it technically met the requirement, but I didn't feel like it represented my best work.",Acknowledge that AI isn't the right fit for every task. Giving us permission to say 'this doesn't apply here' would build more trust than blanket mandates.,"Tried a few, don't use regularly"
R167,Mandated but Disengaged,Low Motivation + Moderate-High Opportunity + Low-Moderate Capability,External Regulation,IC,Operations,More than 5 years,3–12 months,3,1,2,2,4,2,3,4,3,3,3,3,2,4,2,3,2,2,2,2,2,2.0,3.2,2.8,2.0,"My team's adoption of AI feels performative — we use it to check a box, not to improve anything meaningful.","I can see AI being helpful for my work in theory, but the mandated rollout hasn't demonstrated the value proposition to me personally.",Make the case with real evidence from our organization — not just industry benchmarks or vendor marketing. Show me AI made things better here.,Use occasionally
R048,Willing but Blocked,High Motivation + Low Opportunity + Moderate Capability,Identified Regulation,IC,Engineering,3–5 years,Less than 3 months,4,4,4,4,2,4,2,1,2,3,1,2,3,3,3,3,2,3,3,3,3,4.0,1.8,2.8,2.8,"I want to use AI for data analysis but don't have access to the right tools, and our IT procurement process is very slow.","When I did have access for a week during a trial, AI helped me turn raw meeting notes into a polished executive summary in minutes.","We need a clear, simple list of approved AI tools with guidance on what data is safe to use with each one.",Use occasionally
R095,Skeptical Observer,Low Motivation + Moderate Opportunity + Moderate Capability,External / Introjected Regulation,Director+,Operations,More than 5 years,Less than 3 months,3,2,2,1,4,2,3,2,3,2,2,3,1,1,3,3,2,1,2,3,3,2.0,2.4,2.2,2.2,I'm not convinced the accuracy is good enough for our compliance environment. One hallucinated fact in a legal document is a serious problem.,I used it once to generate a first draft of a policy document. It was a decent starting point but needed significant revision.,Peer testimonials from people in similar roles with similar work types. Generic success stories from other industries don't persuade me.,Use occasionally
